company,role,location,work,open_date,close_date,hourly_rate,total_compensation,application_url,linkedin_url,job_id,employment_type,description,qualifications,responsibilities,notes
The Mosaic Company,Informational Technology Co-Op/Intern - Spring 2027,Greater Tampa Bay Area,In person,"August 12, 2026",Rolling,Undisclosed,Undisclosed,https://www.linkedin.com/comm/jobs/view/4442943074?trackingId=&refId=&lipi=urn%3Ali%3Apage%3Aemail_email_jobs_saved_job_reminder_01%3BeoSSjgUVSUCXwqQ%2Bcwx5Eg%3D%3D&midToken=AQEjyWXu4WAGnA&midSig=25zErYE8tvmco1&trk=eml-email_jobs_saved_job_reminder_01-saved~jobs-0-job_posting&trkEmail=eml-email_jobs_saved_job_reminder_01-saved~jobs-0-job_posting-null-i8qsyk~msqejlo8~90-null-null&eid=i8qsyk-msqejlo8-90&otpToken=OWJjZGVkYjI4NzEwZjJhYzQxZjZlYmVjNWJmNTg4MDYxYzM4MDNmMTI1NWYyYTQ5ODA0NGViY2RhODFmNGQ0NWVhNjEzMTExNGZiODIxYTY0ODY3NDQzNzFkZThkZmJmMjJlOWIyZTI2MWFlNTkyZTVhZDUwZGQxMzBjMTI1Y2FlZTNjNzc2ZjM2OTViNzQwLDIsMQ%3D%3D,,4442943074,,,,,Imported automatically from a LinkedIn job email.
Capital One,Technology Internship Program - Summer 2027,"McLean, Virginia, United States",In person,"August 9, 2026",Rolling,Undisclosed,Undisclosed,https://www.linkedin.com/comm/jobs/view/4448680516?trackingId=&refId=&lipi=urn%3Ali%3Apage%3Aemail_email_jobs_saved_job_reminder_01%3Blg5Rh99NSaOrXGfFaWui6A%3D%3D&midToken=AQEjyWXu4WAGnA&midSig=0qtveOZ75nhYo1&trk=eml-email_jobs_saved_job_reminder_01-saved~jobs-0-job_posting&trkEmail=eml-email_jobs_saved_job_reminder_01-saved~jobs-0-job_posting-null-i8qsyk~msm2s2i5~z8-null-null&eid=i8qsyk-msm2s2i5-z8&otpToken=MWVkN2NiYzE2MGExMDI5NWRjZDVhZDIxMWEzZTdjN2JkYThlZThiN2Y5YmNmZDc0ZjRmMjI0MzAzNTM4MjZlNDYyMjUzNzZhMGJlYjVmNjcxMjJmZTE2ZGRhNTBlZWI0OTRiMWRiODg2NDQ5NjE3M2Q1MWRlZjM2YzY3MDg4MTc1MmI5YWY5ZjBjNTFjNTQ0LDIsMQ%3D%3D,,4448680516,,,,,Imported automatically from a LinkedIn job email.
GE Vernova,GE Vernova Digital Technology Internship - Summer 2027,"Atlanta, Georgia, United States",In person,"August 9, 2026",Rolling,Undisclosed,Undisclosed,https://www.linkedin.com/comm/jobs/view/4449005664?trackingId=&refId=&lipi=urn%3Ali%3Apage%3Aemail_email_jobs_saved_job_reminder_01%3Blg5Rh99NSaOrXGfFaWui6A%3D%3D&midToken=AQEjyWXu4WAGnA&midSig=0qtveOZ75nhYo1&trk=eml-email_jobs_saved_job_reminder_01-saved~jobs-0-job_posting&trkEmail=eml-email_jobs_saved_job_reminder_01-saved~jobs-0-job_posting-null-i8qsyk~msm2s2i5~z8-null-null&eid=i8qsyk-msm2s2i5-z8&otpToken=MWVkN2NiYzE2MGExMDI5NWRjZDVhZDIxMWEzZTdjN2JkYThlZThiN2Y5YmNmZDc0ZjRmMjI0MzAzNTM4MjZlNDYyMjUzNzZhMGJlYjVmNjcxMjJmZTE2ZGRhNTBlZWI0OTRiMWRiODg2NDQ5NjE3M2Q1MWRlZjM2YzY3MDg4MTc1MmI5YWY5ZjBjNTFjNTQ0LDIsMQ%3D%3D,https://www.linkedin.com/comm/jobs/view/4449005664?trackingId=&refId=&lipi=urn%3Ali%3Apage%3Aemail_email_jobs_saved_job_reminder_01%3Blg5Rh99NSaOrXGfFaWui6A%3D%3D&midToken=AQEjyWXu4WAGnA&midSig=0qtveOZ75nhYo1&trk=eml-email_jobs_saved_job_reminder_01-saved~jobs-0-job_posting&trkEmail=eml-email_jobs_saved_job_reminder_01-saved~jobs-0-job_posting-null-i8qsyk~msm2s2i5~z8-null-null&eid=i8qsyk-msm2s2i5-z8&otpToken=MWVkN2NiYzE2MGExMDI5NWRjZDVhZDIxMWEzZTdjN2JkYThlZThiN2Y5YmNmZDc0ZjRmMjI0MzAzNTM4MjZlNDYyMjUzNzZhMGJlYjVmNjcxMjJmZTE2ZGRhNTBlZWI0OTRiMWRiODg2NDQ5NjE3M2Q1MWRlZjM2YzY3MDg4MTc1MmI5YWY5ZjBjNTFjNTQ0LDIsMQ%3D%3D,4449005664,Internship,,,,Imported automatically from a LinkedIn job email.
HEICO,Cybersecurity IT Systems Intern,"Blacksburg, Virginia, United States",In person,"August 8, 2026",Rolling,Undisclosed,Undisclosed,https://www.linkedin.com/comm/jobs/view/4450730256?trackingId=&refId=&lipi=urn%3Ali%3Apage%3Aemail_email_jobs_saved_job_reminder_01%3B6QRTFOT2QCSWG9i6ZYiZrw%3D%3D&midToken=AQEjyWXu4WAGnA&midSig=1maVGV_efogso1&trk=eml-email_jobs_saved_job_reminder_01-saved~jobs-0-job_posting&trkEmail=eml-email_jobs_saved_job_reminder_01-saved~jobs-0-job_posting-null-i8qsyk~mskoidwc~5m-null-null&eid=i8qsyk-mskoidwc-5m&otpToken=ZmQ5OGJiZGEwOTkxYThmM2U2YzU3MTZhNGUwZWE5ZGU5MmIzNjRkNjBiMTcxZDU3ZDRkYmIxMWNjMmEwODE0OWE2NTgyYzM4MGQ1ZjIxYWEyNjMxMmIwMTU5ODY2MTJkNzlhZjdhMDg4YjYyNjU0MGRhNGE2OWRhMTIxZjdhOWM2MzljMTU4YjQ0ODgzYTliLDIsMQ%3D%3D,,4450730256,,,,,Imported automatically from a LinkedIn job email.
Roblox,[Summer 2027] Software Engineer Intern,"San Mateo, California, United States",In person,"August 8, 2026",Rolling,Undisclosed,Undisclosed,https://www.linkedin.com/comm/jobs/view/4449149254?trackingId=&refId=&lipi=urn%3Ali%3Apage%3Aemail_email_jobs_saved_job_reminder_01%3B6QRTFOT2QCSWG9i6ZYiZrw%3D%3D&midToken=AQEjyWXu4WAGnA&midSig=1maVGV_efogso1&trk=eml-email_jobs_saved_job_reminder_01-saved~jobs-0-job_posting&trkEmail=eml-email_jobs_saved_job_reminder_01-saved~jobs-0-job_posting-null-i8qsyk~mskoidwc~5m-null-null&eid=i8qsyk-mskoidwc-5m&otpToken=ZmQ5OGJiZGEwOTkxYThmM2U2YzU3MTZhNGUwZWE5ZGU5MmIzNjRkNjBiMTcxZDU3ZDRkYmIxMWNjMmEwODE0OWE2NTgyYzM4MGQ1ZjIxYWEyNjMxMmIwMTU5ODY2MTJkNzlhZjdhMDg4YjYyNjU0MGRhNGE2OWRhMTIxZjdhOWM2MzljMTU4YjQ0ODgzYTliLDIsMQ%3D%3D,,4449149254,,,,,Imported automatically from a LinkedIn job email.
Varda Space Industries,Cybersecurity Internship - Spring 2027,"El Segundo, California, United States",In person,"August 8, 2026",Rolling,Undisclosed,Undisclosed,https://www.linkedin.com/comm/jobs/view/4450758010?trackingId=&refId=&lipi=urn%3Ali%3Apage%3Aemail_email_jobs_saved_job_reminder_01%3B6QRTFOT2QCSWG9i6ZYiZrw%3D%3D&midToken=AQEjyWXu4WAGnA&midSig=1maVGV_efogso1&trk=eml-email_jobs_saved_job_reminder_01-saved~jobs-0-job_posting&trkEmail=eml-email_jobs_saved_job_reminder_01-saved~jobs-0-job_posting-null-i8qsyk~mskoidwc~5m-null-null&eid=i8qsyk-mskoidwc-5m&otpToken=ZmQ5OGJiZGEwOTkxYThmM2U2YzU3MTZhNGUwZWE5ZGU5MmIzNjRkNjBiMTcxZDU3ZDRkYmIxMWNjMmEwODE0OWE2NTgyYzM4MGQ1ZjIxYWEyNjMxMmIwMTU5ODY2MTJkNzlhZjdhMDg4YjYyNjU0MGRhNGE2OWRhMTIxZjdhOWM2MzljMTU4YjQ0ODgzYTliLDIsMQ%3D%3D,,4450758010,,,,,Imported automatically from a LinkedIn job email.
Bright Network Consulting,Cyber Security Intern,United States (Remote),Remote,"August 7, 2026",Rolling,Undisclosed,Undisclosed,https://www.linkedin.com/comm/jobs/view/4449224897/?trackingId=swUgtHHeSVerRW2PES86Fg%3D%3D&refId=lZ8FsFiRTH%2BcLQ%2BnteRTCw%3D%3D&lipi=urn%3Ali%3Apage%3Aemail_email_application_confirmation_with_nba_01%3BsLjzy2yHTZO9fr8w3ajtEg%3D%3D&midToken=AQEjyWXu4WAGnA&midSig=18i3GOhoqbfIo1&trk=eml-email_application_confirmation_with_nba_01-applied_jobs-0-job_posting&trkEmail=eml-email_application_confirmation_with_nba_01-applied_jobs-0-job_posting-null-i8qsyk~msjubvbm~lc-null-null&eid=i8qsyk-msjubvbm-lc&otpToken=YTliYjEwYWQzYTNmM2JhYjQyOTE5NDAyZThkODM1Mjc3MjRjN2Y0N2Y4ODA1ZDU4NzJkYmJmMmE1ODdiMmQwMGJjMzE5MGNiZTIzZTM2Njc3MzY2MTE2MWJhZmYyYTJhZDljNGViNDY5ZjUwNjkzY2I3Mjk4ZTUyMWQ2MDEzNDI1YmUzYmI3YjIzMjE5ODMzLDIsMQ%3D%3D,,4449224897,,,,,Imported automatically from a LinkedIn job email.
CNO Financial Group,Cyber Security IT Intern - REMOTE,United States,Remote,"August 7, 2026",Rolling,Undisclosed,Undisclosed,https://careers.cnoinc.com/carmel-in/cyber-security-it-intern-remote/08EF775A045D4EFE9CEC1D57D0B83B2C/job/,,JR170419,,"Paid cybersecurity internship rotating across Security Operations, Engineering, and Governance.","Progress toward a bachelor's degree in CS, IT, or related field; rising junior/senior; expected graduation Dec. 2027-June 2029; 40 hours/week for 10-12 weeks.",,"May 17-August 6, 2027. Fully remote in the U.S.; Central/Eastern Time preferred. No visa sponsorship."
GE Vernova,Digital Technology Intern,"Atlanta, GA",In person,"August 7, 2026",Rolling,Est. $25-$50/hour,"Est. $10,000-$24,000",https://careers.gevernova.com/ge-vernova-digital-technology-internship-summer-2027/job/R5049176,,R5049176,INTERN,"Job Description Summary Job Description GE Vernova is seeking sharp, personable, highly-organized interns who are looking for the opportunity to grow their technical and professional skills while building a career with unlimited potential. Interns will learn from the best in the industry and work on substantial projects with real world implications, getting hands-on with digital technologies! What you'll do We offer meaningful, impactful assignments as well as an assignment that includes team building, career development opportunities, and more! Digital Technology Interns are GE Vernova's primary pipeline to full-time employment opportunities either as a direct hire or as a member of one of our world-class early talent leadership programs, like the Digital Technology Development Program (DTDP). Digital Technology Interns are hired to focus on a particular area of the GE Vernova businesses based on availability of positions, the interviewer's assessment, and the applicant's preference. Focus areas could include but are not limited to Product & Program Management, Cyber Security, Cloud & Network Technology, Enabling Functions, Data & Analytics, Data Science, AI, Engineering, and more. Digital intern assignments, typically 10 to 12 weeks in length, are dynamic and challenging based on the business needs and the type of work required. Interns have significant exposure to key IT and Software business leaders at GE Vernova; as well as a global internship support network to accelerate learning and development. The pay range for this position is $1,000-$2,000 USD weekly. The specific pay offered may be influenced by a variety of factors, including the candidate’s experience, education, and skill set. For candidates applying to a U.S. based position only: This posting is expected to remain open for at least seven days after it was posted on August 3, 2026. This position is also eligible for: Relocation Assistance: Co-op/Interns will be reimbursed for reasonable, proper, and documented expenditures incurred while initially reporting to work and returning to school/home upon completion of the assignment. Employees with a permanent address greater than 50 miles away from the work location are eligible. Housing Allowance: Co-op/Interns employees receive a weekly housing allowance to help off-set living expenses when the co-op/Intern’s permanent residence is at least 50 miles away from the work location. Employee Assistance Program , providing 24/7 confidential assessment, counseling and referral services GE Vernova Retirement Savings Plan (RSP) after their accumulated service reaches 90 days, and they meet any other eligibility requirements as defined in the plans. (Eligibility occurs on the 1st of the month following the 90th day.) Additional Information GE Vernova offers a great work environment, professional development, challenging careers, and competitive compensation. GE Vernova is an Equal Opportunity Employer . Employment decisions are made without regard to race, color, religion, national or ethnic origin, sex, sexual orientation, gender identity or expression, age, disability, protected veteran status or other characteristics protected by law. GE Vernova will only employ those who are legally authorized to work in the United States for this opening. Any offer of employment is conditioned upon the successful completion of a drug screen (as applicable). Relocation Assistance Provided: No For candidates applying to a U.S. based position only: This posting is expected to remain open for at least seven days after it was posted on August 07, 2026. U.S. Internship roles are ineligible for GE Vernova benefits.",,,"10-12 weeks. Hourly rate is derived from the posted $1,000-$2,000 weekly range. Employer page enriched automatically from published job data."
Labelbox,Cyber Security Intern,San Francisco Bay Area,In person,"August 7, 2026",Rolling,Undisclosed,Undisclosed,https://www.linkedin.com/comm/jobs/view/4437889854/?trackingId=Ph7X4uk3TCGwHCQC5ydrRw%3D%3D&refId=iB0APuuvQui1AXcUNcIExA%3D%3D&lipi=urn%3Ali%3Apage%3Aemail_email_application_confirmation_with_nba_01%3BsLjzy2yHTZO9fr8w3ajtEg%3D%3D&midToken=AQEjyWXu4WAGnA&midSig=18i3GOhoqbfIo1&trk=eml-email_application_confirmation_with_nba_01-jymbii-0-job_posting&trkEmail=eml-email_application_confirmation_with_nba_01-jymbii-0-job_posting-null-i8qsyk~msjubvbm~lc-null-null&eid=i8qsyk-msjubvbm-lc&otpToken=YTliYjEwYWQzYTNmM2JhYjQyOTE5NDAyZThkODM1Mjc3MjRjN2Y0N2Y4ODA1ZDU4NzJkYmJmMmE1ODdiMmQwMGJjMzE5MGNiZTIzZTM2Njc3MzY2MTE2MWJhZmYyYTJhZDljNGViNDY5ZjUwNjkzY2I3Mjk4ZTUyMWQ2MDEzNDI1YmUzYmI3YjIzMjE5ODMzLDIsMQ%3D%3D,,4437889854,,,,,Imported automatically from a LinkedIn job email.
LiveRamp,"Co-Op, Software Engineer - Action Runtime","Seattle, Washington, United States",In person,"August 7, 2026",Rolling,Undisclosed,Undisclosed,https://www.linkedin.com/comm/jobs/view/4440855074?trackingId=&refId=&lipi=urn%3Ali%3Apage%3Aemail_email_jobs_saved_job_reminder_01%3BbDp%2BHfToQdWI8dWFVjgCTw%3D%3D&midToken=AQEjyWXu4WAGnA&midSig=2seFYCLX0Tfco1&trk=eml-email_jobs_saved_job_reminder_01-saved~jobs-0-job_posting&trkEmail=eml-email_jobs_saved_job_reminder_01-saved~jobs-0-job_posting-null-i8qsyk~msj921cz~54-null-null&eid=i8qsyk-msj921cz-54&otpToken=ZjIxZjAwYzcwNzBlOGU1YmMzMWI4MmJmMzZlMzY2MWRmNWVmNzVjZGRlMjBiMWFmZTkxY2UzOTk5OTg2NWY4NmJlMDNjOGJlYjE2N2RjNTA2MjU2NjJjMzIwOGIzZWM1ZjRmNjgzNDJiYTcwYTRmM2FkMGRjMGQ1MTA0MTFkODdhMDA1ZmU4NWE3YTJjZmNhLDIsMQ%3D%3D,,4440855074,,,,,Imported automatically from a LinkedIn job email.
